kilometraje,temperatura_motor,rpm,horas_uso,voltaje_bateria,marca,combustible,tipo_aceite,codigo_falla,requiere_mantenimiento
173460,99.8,1960.0,281.0,13.18,Nissan,GNV,Semisint'etico,P0171,1
169578,107.4,2423.0,963.0,12.76,Chevrolet,Gasolina,Mineral,P0700,1
50874,,2390.0,3165.0,13.51,Kia,GNV,Semisint'etico,P0420,1
86420,76.4,2095.0,1565.0,12.42,Chevrolet,GLP,Semisint'etico,P0562,1
108011,99.7,2399.0,2556.0,12.23,Chevrolet,Di'esel,Sint'etico,P0115,0
114536,97.6,2221.0,2013.0,14.2,Chevrolet,Gasolina,Semisint'etico,P0300,1
19198,100.7,2540.0,1706.0,12.82,Chevrolet,GLP,Mineral,P0300,1
124779,111.5,2130.0,3027.0,11.92,Toyota,Gasolina,Semisint'etico,P0171,1
42400,78.4,1840.0,1587.0,11.94,Hyundai,GLP,Semisint'etico,P0115,1
166108,91.7,2151.0,197.0,11.75,Chevrolet,GNV,Sint'etico,P0171,1
153440,102.3,700.0,1077.0,13.25,Toyota,Di'esel,Mineral,P0016,1
203730,82.8,2172.0,2296.0,12.21,Kia,Gasolina,Sint'etico,P0700,1
166400,110.3,700.0,2156.0,12.6,Toyota,Gasolina,Sint'etico,P0016,1
86994,100.3,1224.0,390.0,12.45,Nissan,Gasolina,Sint'etico,P0700,0
213177,104.6,2203.0,1148.0,13.09,Toyota,Gasolina,,P0016,1
96278,91.9,2215.0,1276.0,11.82,Toyota,Gasolina,Semisint'etico,P0016,1
78423,104.3,1477.0,1471.0,11.64,Chevrolet,GLP,Mineral,P0016,1
200162,106.6,1680.0,562.0,12.68,Hyundai,Di'esel,Semisint'etico,P0016,1
87796,99.1,2617.0,1234.0,12.98,Kia,GNV,Semisint'etico,P0016,0
26032,99.1,1782.0,1144.0,12.77,Hyundai,GNV,Semisint'etico,P0700,0
108606,99.4,3009.0,2494.0,11.85,Hyundai,GNV,Sint'etico,P0171,1
177092,89.2,1999.0,2528.0,13.04,Nissan,GLP,Semisint'etico,P0115,1
49788,95.7,2184.0,1669.0,11.9,Nissan,Di'esel,Mineral,P0562,1
107217,95.6,2728.0,1447.0,12.08,Hyundai,GNV,Mineral,P0016,0
37283,,2059.0,1926.0,11.74,Nissan,Gasolina,Semisint'etico,P0171,1
154160,106.0,1549.0,1065.0,13.54,Nissan,Di'esel,,P0016,1
109898,87.5,1951.0,768.0,13.01,Chevrolet,Di'esel,Mineral,P0016,0
79341,,1984.0,954.0,12.98,Chevrolet,GLP,Semisint'etico,P0700,0
57650,110.3,1386.0,1229.0,13.5,Suzuki,GLP,Semisint'etico,P0420,1
128544,90.3,1885.0,753.0,14.2,Kia,GNV,Sint'etico,P0115,1
150660,89.6,1666.0,1946.0,11.13,Kia,GNV,Sint'etico,P0016,1
207464,98.8,2416.0,2457.0,11.91,Chevrolet,Di'esel,Mineral,P0700,1
101801,104.6,2016.0,372.0,12.01,Suzuki,GNV,Sint'etico,P0700,0
43744,97.1,1873.0,1823.0,11.82,Nissan,Gasolina,Semisint'etico,P0562,1
184862,109.0,1952.0,1602.0,11.64,Toyota,GNV,Mineral,P0562,1
142250,104.7,2100.0,2107.0,12.26,Kia,Gasolina,Sint'etico,P0300,1
157055,104.6,2278.0,1788.0,11.53,Nissan,GNV,Mineral,P0700,1
30417,102.0,1550.0,492.0,12.77,Hyundai,Di'esel,Semisint'etico,P0420,1
75596,117.9,1531.0,664.0,12.54,Suzuki,GNV,Sint'etico,P0016,1
171247,95.2,2497.0,1826.0,12.88,Nissan,Gasolina,Sint'etico,P0016,1
184774,79.0,1814.0,2726.0,12.91,Suzuki,Di'esel,Mineral,P0171,1
101395,111.4,1362.0,100.0,12.98,Toyota,GNV,Mineral,P0420,1
179000,92.9,2200.0,2111.0,12.2,Chevrolet,Gasolina,Mineral,P0420,1
186755,98.0,2209.0,2871.0,14.2,Chevrolet,Di'esel,Mineral,P0016,1
91370,108.8,1311.0,1662.0,12.69,Chevrolet,Gasolina,Sint'etico,P0562,1
198598,82.6,2103.0,2295.0,11.01,Suzuki,Di'esel,Mineral,P0300,1
70548,85.7,2331.0,1167.0,11.7,Kia,Di'esel,Sint'etico,P0115,1
60307,82.6,2168.0,1693.0,11.11,Chevrolet,GLP,Sint'etico,P0420,1
153324,89.9,2284.0,341.0,12.51,Nissan,Di'esel,Mineral,P0700,1
143719,101.0,1368.0,100.0,12.4,Nissan,Gasolina,Semisint'etico,P0420,1
39348,101.7,2149.0,2648.0,12.13,Nissan,Gasolina,Semisint'etico,P0420,1
184874,99.5,1864.0,914.0,14.11,Kia,GNV,Mineral,P0300,1
51980,84.3,1783.0,1390.0,12.94,Suzuki,GNV,Sint'etico,P0562,0
179028,76.2,2392.0,552.0,13.08,Toyota,Gasolina,Semisint'etico,P0171,1
11546,97.5,2666.0,531.0,11.76,Kia,Gasolina,Mineral,P0016,1
177336,92.8,2807.0,1644.0,11.7,Chevrolet,Gasolina,Semisint'etico,P0171,1
175254,101.1,2592.0,1143.0,12.53,Toyota,GNV,Semisint'etico,P0171,1
173876,103.3,1951.0,2140.0,12.64,Kia,GLP,Semisint'etico,P0420,0
149618,98.2,2159.0,2207.0,11.01,Chevrolet,GNV,Mineral,P0420,1
109029,103.8,2345.0,2089.0,12.36,Chevrolet,Di'esel,Sint'etico,P0700,0
158084,99.1,2055.0,2015.0,12.51,Toyota,GLP,Mineral,P0300,1
68195,101.8,2059.0,3220.0,12.33,Hyundai,Gasolina,Mineral,P0700,0
173953,90.7,2371.0,839.0,11.85,Hyundai,GLP,Mineral,P0171,1
126685,95.4,1973.0,1751.0,12.07,Chevrolet,GLP,Semisint'etico,P0300,1
106372,98.8,1672.0,2819.0,12.36,Hyundai,Di'esel,Semisint'etico,P0420,0
116177,104.4,1813.0,2938.0,12.57,Chevrolet,GLP,Semisint'etico,P0300,1
129435,93.5,2285.0,520.0,12.98,Nissan,GLP,Sint'etico,P0016,1
17825,101.7,2001.0,1519.0,13.36,Nissan,Di'esel,Mineral,P0562,0
39357,,2153.0,3022.0,12.26,Hyundai,Gasolina,Semisint'etico,P0171,0
61551,95.9,2302.0,2257.0,12.14,Suzuki,Gasolina,Mineral,P0115,0
34051,104.5,1831.0,1976.0,,Toyota,GNV,Sint'etico,P0115,0
102318,79.1,2340.0,1604.0,12.99,Toyota,Di'esel,Mineral,P0700,0
150364,85.3,2170.0,1455.0,12.15,Toyota,Di'esel,Semisint'etico,P0700,1
147430,83.7,1444.0,2059.0,13.13,Hyundai,GLP,Mineral,P0115,1
108930,76.0,2649.0,1573.0,13.28,Suzuki,Di'esel,Sint'etico,P0016,0
189566,90.9,1775.0,1762.0,13.53,Hyundai,Di'esel,Semisint'etico,P0016,1
128699,103.7,1255.0,1871.0,13.92,Nissan,GLP,Semisint'etico,P0562,1
26631,94.4,1530.0,1190.0,11.81,Kia,GLP,Semisint'etico,P0115,1
170649,98.8,1541.0,2279.0,12.51,Toyota,GLP,Sint'etico,P0300,1
130666,106.8,2023.0,4423.0,12.51,Kia,Gasolina,Semisint'etico,P0016,1
143290,108.9,1877.0,201.0,12.42,Toyota,Di'esel,Sint'etico,P0700,1
128728,96.4,1848.0,2092.0,11.98,Kia,Di'esel,Semisint'etico,P0300,1
126251,109.2,2279.0,1116.0,11.31,Chevrolet,GLP,Sint'etico,P0016,1
29018,97.8,2153.0,2320.0,12.57,Chevrolet,Gasolina,Semisint'etico,P0700,0
127433,89.5,2142.0,1842.0,11.89,Hyundai,Gasolina,,P0420,1
176931,91.7,2184.0,2486.0,12.57,Nissan,GNV,Sint'etico,P0562,1
73829,83.7,2277.0,2858.0,11.86,Chevrolet,GLP,Mineral,P0700,1
136596,89.0,1051.0,1973.0,11.62,Hyundai,GNV,Mineral,P0700,1
16471,93.8,1836.0,2819.0,12.69,Kia,Di'esel,Sint'etico,P0300,1
82974,104.2,1019.0,100.0,,Toyota,GNV,Sint'etico,P0171,0
101710,112.5,2016.0,3231.0,12.96,Suzuki,Di'esel,Mineral,P0115,1
216375,84.6,1998.0,2138.0,14.2,Nissan,GLP,Sint'etico,P0420,1
55062,100.5,2470.0,2770.0,12.72,Hyundai,Gasolina,Mineral,P0171,0
68075,87.6,2534.0,702.0,12.89,Nissan,GNV,Semisint'etico,P0300,1
95791,101.3,2091.0,1052.0,11.64,Nissan,Di'esel,Semisint'etico,P0300,1
218459,95.8,1775.0,1931.0,,Chevrolet,GNV,Sint'etico,P0562,1
189214,80.5,2218.0,1785.0,13.77,Toyota,Di'esel,Semisint'etico,P0115,1
17285,105.4,1762.0,2055.0,11.76,Suzuki,GNV,Sint'etico,P0115,1
59127,91.6,1999.0,2776.0,11.66,Suzuki,Di'esel,Semisint'etico,P0016,1
182551,92.2,2444.0,211.0,12.47,Suzuki,Gasolina,Semisint'etico,P0171,1
22243,87.4,1749.0,2676.0,12.43,Suzuki,Gasolina,Sint'etico,P0420,1
189690,91.1,2363.0,1807.0,11.78,Suzuki,GLP,Semisint'etico,P0300,1
69090,100.9,2305.0,1617.0,12.26,Nissan,Gasolina,Semisint'etico,P0420,1
202706,95.3,1570.0,476.0,13.48,Toyota,Di'esel,Mineral,P0420,1
71654,100.0,2438.0,2253.0,11.86,Kia,GLP,Sint'etico,P0300,1
101206,100.3,2314.0,100.0,11.39,Hyundai,Di'esel,Mineral,P0300,1
149002,108.9,2046.0,2384.0,13.25,Hyundai,Gasolina,Mineral,P0300,1
36518,93.9,1657.0,457.0,12.89,Nissan,GLP,Mineral,P0115,0
126976,83.7,1613.0,1848.0,12.0,Nissan,GLP,Mineral,P0115,1
116053,106.6,1758.0,1693.0,11.23,Chevrolet,GLP,Semisint'etico,P0700,1
174618,94.0,2244.0,2853.0,11.9,Nissan,GNV,Mineral,P0016,1
219182,107.0,1570.0,1639.0,12.46,Toyota,Gasolina,Mineral,P0562,1
149505,100.5,2197.0,1175.0,13.43,Hyundai,Di'esel,,P0300,1
95929,95.8,1441.0,1344.0,11.67,Suzuki,Gasolina,Sint'etico,P0562,1
95341,100.1,1908.0,2946.0,12.43,Kia,GNV,Semisint'etico,P0300,1
97771,114.6,2049.0,2283.0,13.04,Chevrolet,GLP,Mineral,P0171,1
180944,115.7,3100.0,1453.0,10.59,Kia,Gasolina,Mineral,P0171,1
77455,97.6,1380.0,1587.0,13.33,Hyundai,GLP,Semisint'etico,P0171,0
45064,98.4,2662.0,390.0,11.55,Nissan,Gasolina,,P0420,1
80201,106.7,2067.0,2150.0,12.77,Nissan,Di'esel,Mineral,P0115,1
14769,89.4,2185.0,216.0,12.7,Nissan,GLP,Sint'etico,P0016,0
32289,100.0,2053.0,2477.0,13.37,Kia,GLP,Sint'etico,P0016,0
28910,96.8,2200.0,1916.0,12.94,Chevrolet,GNV,Semisint'etico,P0115,0
172026,99.8,1931.0,3948.0,10.6,Suzuki,GLP,Mineral,P0562,1
161695,89.5,2654.0,810.0,11.87,Chevrolet,GNV,Sint'etico,P0300,1
156321,82.7,1795.0,1708.0,,Kia,GLP,Semisint'etico,P0016,1
106994,78.3,2510.0,3418.0,12.34,Hyundai,Gasolina,Sint'etico,P0562,0
160582,86.9,1710.0,2872.0,12.88,Chevrolet,Gasolina,Semisint'etico,P0420,1
43867,92.9,1973.0,1173.0,13.13,Kia,GNV,Sint'etico,P0171,0
199130,94.4,1518.0,2002.0,12.99,Chevrolet,Gasolina,Semisint'etico,P0700,1
115219,114.4,2205.0,1802.0,12.33,Toyota,Di'esel,Semisint'etico,P0115,1
206990,107.0,2650.0,2054.0,11.02,Hyundai,Gasolina,Sint'etico,P0171,1
41985,88.3,1965.0,1171.0,12.14,Nissan,Di'esel,Sint'etico,P0115,0
114439,100.1,1911.0,1720.0,12.83,Kia,GLP,Mineral,P0171,0
156227,93.3,1498.0,362.0,11.63,Kia,Gasolina,Sint'etico,P0171,1
114081,94.4,1897.0,1922.0,13.01,Chevrolet,Di'esel,Sint'etico,P0420,1
103692,98.7,1283.0,2205.0,13.23,Kia,GNV,Sint'etico,P0171,0
44904,102.6,1589.0,1595.0,12.6,Nissan,Gasolina,Mineral,P0115,0
90014,93.9,2102.0,346.0,10.5,Hyundai,Gasolina,Semisint'etico,P0300,1
60140,,2594.0,2690.0,11.48,Nissan,Di'esel,Sint'etico,P0016,1
73317,86.7,3264.0,2128.0,14.01,Hyundai,GNV,Mineral,P0420,1
153577,97.1,1736.0,1147.0,12.06,Kia,Di'esel,Sint'etico,P0115,1
142359,120.4,2646.0,1547.0,10.91,Chevrolet,GLP,,P0115,1
137511,99.0,2110.0,449.0,13.49,Suzuki,Gasolina,Sint'etico,P0115,1
85980,109.9,1932.0,877.0,12.51,Hyundai,GLP,Mineral,P0115,1
211535,97.8,2195.0,1316.0,13.38,Chevrolet,Gasolina,Mineral,P0700,1
28406,102.2,2028.0,2906.0,12.72,Toyota,GLP,Mineral,P0562,0
81944,96.5,2050.0,1224.0,12.87,Toyota,Gasolina,Sint'etico,P0016,0
34781,95.5,1816.0,2376.0,12.79,Nissan,GNV,Sint'etico,P0115,0
81178,90.0,1371.0,1316.0,13.06,Nissan,Di'esel,Mineral,P0420,1
211998,100.9,1305.0,2023.0,14.2,Kia,Gasolina,Mineral,P0420,1
86915,89.3,2294.0,1673.0,13.28,Chevrolet,Di'esel,Sint'etico,P0171,0
200801,103.0,1875.0,2586.0,11.24,Kia,Gasolina,Mineral,P0420,0
113963,106.8,1732.0,1319.0,12.86,Hyundai,Gasolina,Mineral,P0171,1
156938,100.3,2004.0,385.0,13.41,Kia,GLP,Semisint'etico,P0171,1
106057,94.4,2358.0,556.0,13.46,Hyundai,Di'esel,Semisint'etico,P0115,0
65832,101.1,2081.0,1321.0,,Nissan,Di'esel,Sint'etico,P0420,1
170488,94.2,1705.0,676.0,13.43,Kia,GNV,Sint'etico,P0016,1
213527,105.4,2552.0,2169.0,13.24,Hyundai,Gasolina,Sint'etico,P0171,1
65340,80.5,2711.0,1381.0,14.2,Chevrolet,Di'esel,Sint'etico,P0115,0
173537,94.0,2223.0,3937.0,11.9,Nissan,Gasolina,Mineral,P0300,1
64839,79.1,2438.0,236.0,12.09,Hyundai,Di'esel,Semisint'etico,P0171,0
160546,83.5,2559.0,1983.0,12.26,Suzuki,Di'esel,Mineral,P0300,1
175691,109.3,2509.0,785.0,12.11,Kia,Gasolina,Sint'etico,P0115,1
104365,105.1,2276.0,1356.0,11.79,Chevrolet,Gasolina,Mineral,P0171,0
164753,90.5,2269.0,1927.0,10.5,Suzuki,GNV,Sint'etico,P0700,1
67170,83.5,2234.0,100.0,12.15,Kia,Gasolina,Mineral,P0171,0
26643,,1506.0,2013.0,12.8,Hyundai,GNV,Sint'etico,P0562,0
30242,92.1,2315.0,3513.0,12.11,Nissan,GNV,Sint'etico,P0420,1
103874,118.8,1390.0,1392.0,14.05,Toyota,Di'esel,Sint'etico,P0115,0
199546,100.9,1642.0,2034.0,12.51,Kia,Di'esel,Mineral,P0171,1
36791,92.0,2587.0,2722.0,13.53,Suzuki,GNV,Sint'etico,P0171,0
105713,101.2,2378.0,1652.0,12.71,Kia,GNV,Semisint'etico,P0420,1
157846,83.0,2669.0,1277.0,13.16,Nissan,Gasolina,Semisint'etico,P0300,1
52496,94.3,1878.0,100.0,12.72,Chevrolet,GNV,Mineral,P0300,1
161539,97.9,1481.0,2377.0,13.6,Hyundai,GNV,Semisint'etico,P0700,1
74250,96.2,1892.0,1698.0,12.54,Hyundai,Gasolina,Sint'etico,P0171,0
179818,104.1,2046.0,889.0,12.9,Chevrolet,Gasolina,Semisint'etico,P0300,1
131636,100.1,2036.0,1914.0,12.79,Toyota,GLP,Sint'etico,P0700,1
124850,103.0,2510.0,1275.0,12.27,Kia,Gasolina,Mineral,P0300,1
47122,90.8,1837.0,1324.0,12.82,Kia,GLP,Mineral,P0171,1
107273,105.1,2158.0,2346.0,14.2,Suzuki,Gasolina,Sint'etico,P0115,1
189888,111.7,1555.0,595.0,12.28,Toyota,GLP,Mineral,P0700,1
14100,88.3,2203.0,2743.0,12.84,Suzuki,Gasolina,,P0115,0
169289,89.0,2001.0,542.0,13.51,Kia,Gasolina,Semisint'etico,P0171,1
113480,109.0,1663.0,1204.0,13.41,Chevrolet,Gasolina,Semisint'etico,P0700,1
161087,95.3,1894.0,3531.0,12.51,Chevrolet,Gasolina,Sint'etico,P0300,1
149292,109.6,1917.0,2815.0,10.59,Hyundai,GLP,Semisint'etico,P0700,1
100739,93.0,1878.0,1888.0,12.91,Suzuki,Gasolina,Sint'etico,P0016,0
74820,110.1,2797.0,954.0,10.72,Hyundai,GNV,Mineral,P0700,1
141734,98.2,1956.0,1324.0,13.68,Toyota,GLP,Mineral,P0420,1
39447,99.3,1890.0,1866.0,12.64,Nissan,Di'esel,Mineral,P0300,1
132660,111.1,1056.0,1834.0,13.3,Chevrolet,GNV,Semisint'etico,P0115,1
29885,93.7,1598.0,1718.0,11.78,Suzuki,GLP,Semisint'etico,P0562,0
146467,88.5,1882.0,1772.0,11.26,Kia,GLP,Semisint'etico,P0562,1
142036,93.0,1691.0,1607.0,12.71,Toyota,Gasolina,Mineral,P0700,1
27733,101.1,2622.0,502.0,12.47,Toyota,GLP,Semisint'etico,P0115,0
169072,82.9,1926.0,1335.0,12.11,Kia,GLP,Semisint'etico,P0420,1
97319,102.7,2580.0,2623.0,12.57,Hyundai,GNV,Semisint'etico,P0171,0
175246,92.2,2028.0,568.0,14.2,Suzuki,Di'esel,Semisint'etico,P0300,1
18738,107.3,2017.0,1629.0,13.17,Toyota,GLP,Semisint'etico,P0420,1
47685,75.5,1960.0,1062.0,13.34,Suzuki,Di'esel,Mineral,P0300,1
113738,89.9,2002.0,1900.0,13.18,Hyundai,Gasolina,Semisint'etico,P0016,0
49527,81.8,2773.0,1450.0,13.68,Toyota,Gasolina,Mineral,P0115,0
79270,89.6,956.0,3130.0,12.35,Hyundai,GNV,Mineral,P0562,0
148725,99.2,1099.0,2256.0,10.86,Toyota,GLP,Semisint'etico,P0171,1
40350,95.4,1756.0,619.0,,Kia,Di'esel,Mineral,P0115,0
152317,94.7,2007.0,2404.0,13.15,Hyundai,GLP,Sint'etico,P0016,1
31714,95.6,2311.0,1103.0,11.72,Chevrolet,Gasolina,Mineral,P0700,1
46788,98.8,2213.0,1281.0,,Chevrolet,Gasolina,Sint'etico,P0562,0
133405,87.9,1827.0,2082.0,11.95,Toyota,GLP,Semisint'etico,P0016,1
176631,103.4,2459.0,1357.0,13.7,Toyota,GLP,Sint'etico,P0562,1
45824,103.0,2464.0,2604.0,13.1,Toyota,GNV,Semisint'etico,P0171,0
72998,100.5,2083.0,1103.0,13.02,Hyundai,GNV,Semisint'etico,P0700,0
204275,102.0,2433.0,1243.0,13.0,Toyota,Di'esel,Mineral,P0171,1
217833,99.7,2123.0,1209.0,12.47,Hyundai,GNV,,P0171,1
132022,115.3,1747.0,1291.0,12.66,Chevrolet,Di'esel,Mineral,P0420,1
103878,96.2,2314.0,2789.0,11.55,Hyundai,GNV,Mineral,P0562,1
82842,94.2,2050.0,2366.0,10.75,Hyundai,Gasolina,Semisint'etico,P0562,1
138614,90.2,2001.0,3339.0,12.62,Kia,Gasolina,Semisint'etico,P0115,1
134092,87.7,2663.0,3841.0,12.76,Chevrolet,Gasolina,Mineral,P0171,1
71898,85.8,897.0,872.0,13.47,Hyundai,GNV,Sint'etico,P0420,1
14788,89.0,1362.0,1863.0,13.76,Hyundai,Gasolina,Mineral,P0700,0
41814,96.4,1466.0,741.0,13.76,Kia,GNV,Sint'etico,P0171,0
211297,100.0,1837.0,1100.0,11.7,Toyota,GLP,Mineral,P0700,1
97812,97.5,1885.0,1233.0,12.22,Kia,Gasolina,Sint'etico,P0420,1
111283,,1322.0,849.0,12.88,Suzuki,GNV,Mineral,P0562,0
108092,105.1,1557.0,853.0,14.2,Kia,Gasolina,Mineral,P0562,1
174374,103.7,1613.0,1670.0,13.68,Toyota,Gasolina,Sint'etico,P0016,1
23640,95.6,3106.0,705.0,13.4,Nissan,GLP,Semisint'etico,P0300,1
27373,91.1,2811.0,2558.0,12.19,Toyota,Di'esel,Semisint'etico,P0700,0
67927,101.9,1815.0,974.0,11.79,Hyundai,Di'esel,Sint'etico,P0562,1
112198,98.7,1836.0,4329.0,13.13,Toyota,Gasolina,Semisint'etico,P0562,0
150936,84.0,1483.0,1394.0,11.62,Suzuki,GLP,,P0562,1
113048,96.4,1141.0,1865.0,12.31,Suzuki,Gasolina,Sint'etico,P0300,1
102645,99.4,1947.0,634.0,12.41,Chevrolet,Gasolina,Mineral,P0562,0
206943,88.9,1551.0,3335.0,13.77,Chevrolet,GLP,Mineral,P0420,1
43813,98.7,1962.0,2808.0,12.22,Chevrolet,Di'esel,Semisint'etico,P0171,0
130062,83.9,1280.0,2067.0,10.55,Chevrolet,GLP,Semisint'etico,P0115,1
123871,109.0,1657.0,588.0,12.9,Chevrolet,Gasolina,Semisint'etico,P0562,1
109432,108.2,2067.0,1990.0,11.94,Suzuki,GLP,Sint'etico,P0300,1
179595,94.7,2165.0,791.0,12.53,Nissan,GNV,Semisint'etico,P0300,1
66064,100.3,2188.0,3116.0,12.43,Toyota,Di'esel,Mineral,P0420,1
210292,75.3,1406.0,2528.0,12.28,Kia,Di'esel,Sint'etico,P0420,0
79629,86.6,2385.0,1886.0,13.13,Suzuki,GLP,Mineral,P0115,0
124450,94.4,1640.0,100.0,11.27,Kia,GLP,Mineral,P0300,1
119341,87.4,2285.0,915.0,12.09,Hyundai,Gasolina,Mineral,P0700,0
188453,103.4,1995.0,2419.0,13.05,Suzuki,GLP,Semisint'etico,P0420,0
102171,115.0,1381.0,2892.0,12.01,Chevrolet,Gasolina,Semisint'etico,P0300,1
69757,86.4,1858.0,2798.0,11.21,Chevrolet,GLP,Semisint'etico,P0700,1
14538,89.5,2164.0,367.0,13.03,Kia,GNV,Mineral,P0420,1
86372,99.1,2276.0,2071.0,13.4,Toyota,GLP,Mineral,P0171,0
183521,111.5,1937.0,2714.0,12.46,Kia,GNV,Semisint'etico,P0700,1
12082,86.0,2689.0,307.0,10.93,Kia,Di'esel,Mineral,P0700,1
198193,99.2,2453.0,1793.0,13.06,Suzuki,GNV,Semisint'etico,P0115,1
123993,113.4,1885.0,2046.0,11.17,Hyundai,GNV,Semisint'etico,P0300,1
39452,82.1,2338.0,1529.0,12.75,Toyota,GNV,Sint'etico,P0562,0
73457,85.5,2870.0,133.0,11.79,Kia,GLP,Semisint'etico,P0700,1
126347,93.2,2882.0,1507.0,11.57,Suzuki,GLP,Semisint'etico,P0700,1
76295,92.3,1447.0,1505.0,,Kia,GLP,Mineral,P0300,1
32800,,1583.0,1667.0,12.35,Kia,GNV,Mineral,P0171,0
149857,99.2,2668.0,1293.0,,Nissan,GNV,Sint'etico,P0420,0
151170,81.0,1524.0,1401.0,12.97,Chevrolet,Di'esel,Semisint'etico,P0300,1
34963,101.6,1405.0,1764.0,,Hyundai,Gasolina,Mineral,P0115,0
69059,91.8,1781.0,2198.0,13.28,Suzuki,Gasolina,,P0420,1
61213,108.5,2189.0,1526.0,12.72,Chevrolet,Gasolina,Semisint'etico,P0171,1
148478,91.4,1954.0,1431.0,11.94,Toyota,Gasolina,Mineral,P0300,1
163362,91.3,1707.0,1883.0,11.81,Kia,Gasolina,Semisint'etico,P0562,1
